Article no.,Title,URL
158,Mean People Fail,http://www.paulgraham.com/mean.html
159,The Fatal Pinch,http://www.paulgraham.com/pinch.html
160,How You Know,http://www.paulgraham.com/know.html
161,How to Be an Expert in a Changing World,http://www.paulgraham.com/ecw.html
162,Let the Other 95% of Great Programmers In,http://www.paulgraham.com/95.html
163,Don't Talk to Corp Dev,http://www.paulgraham.com/corpdev.html
164,What Doesn't Seem Like Work?,http://www.paulgraham.com/work.html
165,The Ronco Principle,http://www.paulgraham.com/ronco.html
166,What Microsoft Is this the Altair Basic of?,http://www.paulgraham.com/altair.html
167,Change Your Name,http://www.paulgraham.com/name.html
168,Why It's Safe for Founders to Be Nice,http://www.paulgraham.com/safe.html
169,Default Alive or Default Dead?,http://www.paulgraham.com/aord.html
170,Write Like You Talk,http://www.paulgraham.com/talk.html
171,A Way to Detect Bias,http://www.paulgraham.com/bias.html
172,Jessica Livingston,http://www.paulgraham.com/jessica.html
173,The Refragmentation,http://www.paulgraham.com/re.html
174,Economic Inequality,http://www.paulgraham.com/ineq.html
175,Life is Short,http://www.paulgraham.com/vb.html
176,How to Make Pittsburgh a Startup Hub,http://www.paulgraham.com/pgh.html
177,The Risk of Discovery,http://www.paulgraham.com/disc.html
178,Charisma / Power,http://www.paulgraham.com/pow.html
179,General and Surprising,http://www.paulgraham.com/sun.html
180,The Bus Ticket Theory of Genius,http://www.paulgraham.com/genius.html
181,Novelty and Heresy,http://www.paulgraham.com/nov.html
182,The Lesson to Unlearn,http://www.paulgraham.com/lesson.html
183,Having Kids,http://www.paulgraham.com/kids.html
184,Fashionable Problems,http://www.paulgraham.com/fp.html
185,The Two Kinds of Moderate,http://www.paulgraham.com/mod.html
186,Haters,http://www.paulgraham.com/fh.html
187,Being a Noob,http://www.paulgraham.com/noob.html
188,How to Write Usefully,http://www.paulgraham.com/useful.html
189,Coronavirus and Credibility,http://www.paulgraham.com/cred.html
190,Orthodox Privilege,http://www.paulgraham.com/orth.html
191,The Four Quadrants of Conformism,http://www.paulgraham.com/conformism.html
192,Modeling a Wealth Tax,http://www.paulgraham.com/wtax.html
193,Early Work,http://www.paulgraham.com/early.html
194,How to Think for Yourself,http://www.paulgraham.com/think.html
195,The Airbnbs,http://www.paulgraham.com/airbnbs.html
196,Billionaires Build,http://www.paulgraham.com/ace.html
197,Earnestness,http://www.paulgraham.com/earnest.html
198,What I Worked On,http://www.paulgraham.com/worked.html
199,Donate Unrestricted,http://www.paulgraham.com/donate.html
200,Write Simply,http://www.paulgraham.com/simply.html
201,How People Get Rich Now,http://www.paulgraham.com/richnow.html
202,The Real Reason to End the Death Penalty,http://www.paulgraham.com/real.html
203,An NFT That Saves Lives,http://www.paulgraham.com/nft.html
204,Crazy New Ideas,http://www.paulgraham.com/newideas.html
205,Fierce Nerds,http://www.paulgraham.com/fn.html
206,A Project of One's Own,http://www.paulgraham.com/own.html
207,How to Work Hard,http://www.paulgraham.com/hwh.html
208,Weird Languages,http://www.paulgraham.com/weird.html
209,Beyond Smart,http://www.paulgraham.com/smart.html
210,Is There Such a Thing as Good Taste?,http://www.paulgraham.com/goodtaste.html
211,Putting Ideas into Words,http://www.paulgraham.com/words.html
212,Heresy,http://www.paulgraham.com/heresy.html
213,What I've Learned from Users,http://www.paulgraham.com/users.html
214,Alien Truth,http://www.paulgraham.com/alien.html
215,What You (Want to)* Want,http://www.paulgraham.com/want.html
216,The Need to Read,http://www.paulgraham.com/read.html
217,How to Get New Ideas,http://www.paulgraham.com/getideas.html
218,How to Do Great Work,http://www.paulgraham.com/greatwork.html
